http://www.xpgamesaves.com/topic/101174-dark-souls-2-item-hex-ids-thread/ password--mrantifun.net
Items:
 
Smooth & Silky Stone    03085E00
Small Smooth & Silky Stone    03087188
Soul Of A Giant    0308FA40
Champion's Tablet    03094860
Soul Vessel    03099680
Crushed Eye Orb    030A32C0
Simpleton's Spice    030A59D0
Skeptic's Spice    030A80E0
Lifegem    0393AE10
Radiant Lifegem    0393D520
Old Radiant Lifegem    0393FC30
Elizabeth Mushroom    03940FB8
Amber Herb    03942340
Twilight Herb    03944A50
Wilted Dusk Herb    03947160
Poison Moss    03949870
Monastery Charm    0394E690
Dragon Charm    03950DA0
Divine Blessing    03952128
Rouge Water    039534B0
Crimson Water    03955BC0
Human Effigy    0395D4D8
Estus Flask    0395E478
????    0395E860
Small Blue Burr    0395F800
Small Yellow Burr    03961F10
Small Orange Burr    03964620
Dark Troches    03966D30
Common Fruit    03969440
Red Leech Troches    0396BB50
????    0396E260
Triclops Snake Troches    03970970
Aromatic Ooze    03973080
????    03974408
Gold Pine Resin    03975790
Charcoal Pine Resin    03977EA0
Dark Pine Resin    0397A5B0
Rotten Pine Resin    0397CCC0
Bleeding Serum    0397F3D0
Green Blossom    039841F0
Rusted Coin    03986900
????    03989010
????    0398B720
Homeward Bone    0398DE30
Aged Feather    0398F1B8
Darksign    03990540
Silver Talisman    03992C50
????    03995360
????    03997A70
????    0399A180
Dragon Head Stone    0399B508
Dragon Torso Stone    0399B8F0
Repair Powder    0399C890
????    0399EFA0
Flame Butterfly    039A16B0
Prism Stone    039A64D0
Hello Carving    039AB2F0
Thank You Carving    039ADA00
I'm Sorry Carving    039B0110
Very Good! Carving    039B2820
Rubbish    039B4F30
Petrified Something    039B5318
Estus Flask Shard    039B89C8
Sublime Bone Dust    039B8DB0
Bonfire Ascetic    039B9198
Alluring Skull    039B9D50
Lloyd's Talisman    039BA138
Pharros' Lockstone    039BB4C0
Fragrant Branch Of Yore    039BB8A8
Fire Seed    039BBC90
Throwing Knife    039BC460
Witching Urn    039BEB70
Lightning Urn    039C1280
Firebomb    039C3990
Black Firebomb    039C4D18
Hexing Urn    039C60A0
Poison Throwing Knife    039C87B0
Dung Pie    039C9B38
Lacerating Knife    039CAEC0
Corrosive Urn    039CD5D0
Holy Water Urn    039CFCE0
Fading Soul    039D1068
Soul Of A Lost Undead    039D23F0
Large Soul Of A Lost Undead    039D4B00
Soul Of A Nameless Soldier    039D7210
Large Soul Of A Nameless Soldier    039D9920
Soul Of A Proud Knight    039DC030
Large Soul Of A Proud Knight    039DE740
Soul Of A Brave Warrior    039E0E50
Large Soul Of A Brave Warrior    039E3560
Soul Of A Hero    039E5C70
Soul Of A Great Hero    039E8380
????    03A05840
????    03A0A660
????    03A11B90
Dried Fingers    03B20B80
Bone Of Order    03B259A0
White Sign Soapstone    03B280B0
Small White Sign Soapstone    03B2A7C0
Red Sing Soapstone    03B2BB48
Cracked Blue Eye Orb    03B2CED0
Cracked Red Eye Orb    03B2F5E0
Dragon Eye    03B31CF0
Token Of Fidelity    03B39220
Token Of Spite    03B3B930
Sunlight Medal    03B3E040
Dragon Scale    03B40750
Rat Tail    03B42E60
Awestone    03B45570
Black Separation Crystal    03B47C80
Seed Of A Tree Of Giants    03B4A390
Petrified Egg    03B4F1B0
????    03C14DC0
????    03C151A8
????    03C15590
????    03C15978
????    03C15D60
????    03C16148
????    03C16530
????    03C16918
????    03C16D00
????    03C170E8
????    03C174D0
????    03C178B8
????    03C17CA0
????    03C18088
????    03C18470
????    03C18858
????    03C18C40
????    03C19028
????    03C19410
????    03C197F8
????    03C19FC8
Soul Of The Pursuer    03D09000
Soul Of The Last Giant    03D0B710
Dragonrider Soul    03D0DE20
Old Dragonslayer Soul    03D10530
Flexile Sentry Soul    03D12C40
Ruin Sentinel Soul    03D15350
Soul Of The Lost Sinner    03D17A60
Executioner's Chariot Soul    03D1A170
Skeleton Lord's Soul    03D1C880
Covetous Demon Soul    03D1EF90
Mytha, The Baneful Queen Soul    03D216A0
Smelter Demon Soul    03D23DB0
Old Iron King Soul    03D264C0
Royal Rat Vanguard Soul    03D28BD0
Soul Of The Rotten    03D2B2E0
Scorpioness Najka Soul    03D2D9F0
Royal Rat Authority Soul    03D30100
Soul Of The Duke's Dear Freja    03D32810
Looking Glass Knight Soul    03D34F20
Demon Of Song Soul    03D37630
Soul Of Velstad    03D39D40
Soul Of The King    03D3C450
Guardian Dragon Soul    03D3EB60
Ancient Dragon Soul    03D41270
Giant Lord Soul    03D43980
Soul Of Nashandra    03D46090
Throne Defender Soul    03D487A0
Throne Watcher Soul    03D4AEB0
Darklurker Soul    03D4D5C0
Belfry Gargoyle Soul    03D4FCD0
Old Witch Soul    03D523E0
Old King Soul    03D54AF0
Old Dead One Soul    03D57200
Old Paledrake Soul    03D59910
????    352ADAE8
????    352ADB4C
????    352ADBB0
????    352ADC14
????    352ADC78
????    352ADCDC
????    352ADD40
????    352ADDA4
????    352ADE08
????    352ADE6C
????    352ADED0
????    352ADF34
????    352ADF98
????    35A509D0
????    35A51012
 
Weapons:
 
Name    Type    Hex ID
Dagger    Dagger    F4240
Bandit's Knife    Dagger    F6950
Mytha's Bent Blade    Dagger    FDE80
Shadow Dagger    Dagger    100590
Thief Dagger    Dagger    102CA0
Broken Thief Sword    Dagger    1053B0
Parrying Dagger    Dagger    10C8E0
Manikin Knife    Dagger    10EFF0
Royal Dirk    Dagger    113E10
Broken Straight Sword    Straight Sword    124F80
Shortsword    Straight Sword    127690
Longsword    Straight Sword    129DA0
Broadsword    Straight Sword    12C4B0
Foot Soldier Sword    Straight Sword    12EBC0
Varangian Sword    Straight Sword    1360F0
Blue Flame    Straight Sword    138800
Heide Knight Sword    Straight Sword    142440
Red Rust Sword    Straight Sword    144B50
Black Dragon Sword    Straight Sword    149970
Sun Sword    Straight Sword    14C080
Drakekeeper's Sword    Straight Sword    14E790
Estoc    Piercing Sword    155CC0
Mail Breaker        1583D0
Chaos Rapier        15AAE0
Spider's Silk        15D1F0
Espada Ropera        15F900
Rapier        16E360
Black Scorpion Stinger        173180
Ricard's Rapier        175890
Falchion        186A00
Shotel        189110
Warped Sword        18B820
Manikin Sabre        190640
Scimitar        192D50
Red Rust Scimitar        195460
Spider Fang        197B70
Melu Scimitar        19A280
Monastery Scimitar        19C990
Uchigatana        19F0A0
Washing Pole        1A17B0
Chaos Blade        1A3EC0
Blacksteel Katana        1A65D0
Manslayer        1A8CE0
Darkdrift        1ADB00
Berserker Blade        1B0210
******* Sword        1B7740
Flamberge        1B9E50
Claymore        1BC560
Drangleic Sword        1C3A90
Thorned Greatsword        1C61A0
Bluemoon Greatsword        1C88B0
Moonlight Greatsword        1C8C98
Mastodon Greatsword        1CAFC0
Ruler's Sword        1CFDE0
Mirrah Greatsword        1D24F0
Old Mirrah Greatsword        1D28D8
Black Dragon Greatsword        1D4C00
Black Knight Greatsword        1D7310
Royal Greatsword        1D9A20
Old Knight Greatsword        1DC130
Defender Greatsword        1DE840
Watcher Greatsword        1E0F50
Key to the Embedded        1E3660
Hand Axe        1E8480
Battle Axe        1EAB90
Bandit Axe        1ED2A0
Infantry Axe        1EF9B0
Gyrm Axe        1F95F0
Dragonslayer's Crescent Axe        1FBD00
Butcher's Knife        1FE410
Silverblack Sickle        200B20
Crescent Axe        2191C0
Greataxe        21B8D0
Bandit Greataxe        21DFE0
Lion Greataxe        222E00
Giant Stone Axe        225510
Gyrm Greataxe        227C20
Black Dragon Greataxe        22F150
Black Knight Greataxe        231860
Drakekeeper's Greataxe        233F70
Club        249F00
Mace        24C610
Morning Star        24ED20
Reinforced Club        251430
Craftman's Hammer        253B40
Mace of the Insolent        25B070
Handmaid's Ladle        2625A0
Blacksmith's Hammer        2673C0
Black Dragon Warpick        269AD0
Aldia Hammer        26C1E0
Barbed Club        271000
Large Club        27AC40
Pickaxe        27D350
Great Club        27FA60
Gyrm Great Hammer        282170
Iron King Hammer        2896A0
Malformed Skull        28BDB0
Dragon Tooth        28E4C0
Giant Warrior Club        290BD0
Malformed Shell        2932E0
Demon's Great Hammer        2959F0
Archdrake Mace        298100
Old Knight Hammer        29A810
Drakekeeper's Great Hammer        29CF20
Sacred Chime Hammer        29F630
Spear        2AB980
Winged Spear        2AE090
Pike        2B07A0
Partizan        2B2EB0
Stone Soldier Spear        2B55C0
Spitfire Spear        2B7CD0
Silverblack Spear        2BA3E0
Heide Spear        2BCAF0
Pate's Spear        2BF200
Channeler's Trident        2C1910
Dragonslayer Spear        2C2C98
Gargoyle Bident        2C3080
Heide Lance        2C4020
Heide Greatlance        2C8E40
Grand Lance        2CB550
Chariot Lance        2CDC60
Great Scythe        2DC6C0
Great Machete        2DEDD0
Full moon Sickle        2E14E0
Crescent Sickle        2E6300
Scythe of Nahr Alma        2E8A10
Bone Scythe        2EB120
Scythe of Want        2ED830
Lucerne        30D400
Scythe        30FB10
Halberd        312220
Helix Halberd        317040
Santier's Spear        319750
Santier's Spear        319B38
